,max_sum_non_zero
fudu_1247,82.5025
fudu_886,82.3244
fudu_1321,82.1458
fudu_159,82.1088
fudu_994,81.8905
fudu_440,81.3959
fudu_1369,81.3861
fudu_866,81.163
fudu_864,81.0957
fudu_998,81.0542
fudu_357,81.0305
fudu_391,81.0297
fudu_870,80.9858
fudu_144,80.8664
fudu_501,80.8161
fudu_1359,80.7679
fudu_736,80.7133
fudu_865,80.7018
fudu_597,80.1517
fudu_393,80.0918
fudu_1001,79.98
fudu_1115,79.7518
fudu_618,79.634
fudu_169,79.5256
fudu_339,79.5138
fudu_377,78.9966
fudu_877,78.989
fudu_992,78.8748
fudu_878,78.8106
fudu_1108,78.4382
fudu_1368,78.4107
fudu_238,78.2559
fudu_457,78.0347
fudu_882,77.9597
fudu_1109,77.8993
fudu_606,77.6768
fudu_872,77.6521
fudu_1308,77.5727
fudu_884,77.4505
fudu_1399,77.3445
fudu_863,77.3213
fudu_443,77.1766
fudu_881,76.9381
fudu_617,76.8858
fudu_72,76.7866
fudu_869,76.7458
fudu_1333,76.7392
fudu_340,76.3497
fudu_1056,76.1466
fudu_1114,76.0774
fudu_972,75.8302
fudu_154,75.6636
fudu_996,75.5216
fudu_868,75.1126
fudu_1358,74.994
fudu_656,74.7665
fudu_950,74.6297
fudu_454,74.519
fudu_155,74.4214
fudu_739,74.4085
fudu_157,74.2349
fudu_659,73.9605
fudu_1331,73.9421
fudu_975,73.9157
fudu_1356,73.6763
fudu_182,73.6424
fudu_1112,73.5946
fudu_1310,73.5946
fudu_1002,73.5561
fudu_158,72.7218
fudu_1357,72.6534
fudu_1000,72.6455
fudu_1004,72.614
fudu_1329,72.2854
fudu_773,72.1947
fudu_999,72.039
fudu_232,72.0064
fudu_230,71.8358
fudu_1312,71.8014
fudu_951,71.3561
fudu_787,71.2049
fudu_1111,71.1686
fudu_615,71.0841
fudu_880,70.9358
fudu_723,70.8453
fudu_233,70.8195
fudu_1096,70.7836
fudu_338,70.7632
fudu_1003,70.7463
fudu_193,70.6987
fudu_1244,70.4763
fudu_1110,70.3583
fudu_974,70.3282
fudu_1328,70.1995
fudu_1242,70.1353
fudu_500,69.9619
fudu_976,69.7661
fudu_605,69.6713
fudu_737,69.3258
fudu_875,68.7361
fudu_721,68.603
fudu_1097,68.5507
fudu_959,68.5213
fudu_655,68.3709
fudu_74,68.1146
fudu_1332,68.0185
fudu_867,68.0041
fudu_978,67.8875
fudu_1319,67.8204
fudu_658,67.8095
fudu_652,67.615
fudu_1068,67.5203
fudu_871,67.4887
fudu_1355,67.0582
fudu_1313,66.6953
fudu_842,66.4546
fudu_653,66.4366
fudu_1311,66.4331
fudu_657,66.3577
fudu_735,66.3567
fudu_781,66.3455
fudu_771,66.0836
fudu_1453,65.9283
fudu_1215,65.7593
fudu_1318,65.4958
fudu_1007,65.0601
fudu_780,64.8865
fudu_654,64.8671
fudu_502,64.7218
fudu_1057,64.6671
fudu_1006,64.4821
fudu_1054,64.0219
fudu_73,63.836
fudu_1243,63.8359
fudu_610,63.826
fudu_1320,63.667
fudu_1401,63.6419
fudu_977,63.4759
fudu_952,63.1471
fudu_1067,63.1437
fudu_1354,63.0559
fudu_183,62.9622
fudu_1334,62.8714
fudu_608,62.6625
fudu_540,62.6419
fudu_663,62.6049
fudu_1055,62.5166
fudu_1105,61.9844
fudu_616,61.961
fudu_840,61.5856
fudu_662,61.3827
fudu_1063,61.3503
fudu_1330,61.2268
fudu_1069,60.9842
fudu_876,60.8186
fudu_1317,60.7662
fudu_660,60.753
fudu_611,60.6423
fudu_499,60.3616
fudu_1098,60.1364
fudu_514,59.9952
fudu_602,59.7185
fudu_1009,59.4304
fudu_515,59.4086
fudu_1015,59.3196
fudu_367,59.2322
fudu_1315,59.0775
fudu_1005,58.7864
fudu_841,58.7712
fudu_598,58.7075
fudu_964,58.5745
fudu_738,58.5553
fudu_143,58.3886
fudu_661,58.3666
fudu_1309,58.3538
fudu_957,58.2507
fudu_1314,58.1295
fudu_590,58.102
fudu_956,57.7913
fudu_971,57.67
fudu_510,57.6498
fudu_961,57.5346
fudu_1451,57.497
fudu_614,57.2134
fudu_1452,57.0019
fudu_508,56.9301
fudu_955,56.6881
fudu_1058,56.5778
fudu_1012,56.3764
fudu_495,56.0776
fudu_1099,55.7883
fudu_1316,55.7434
fudu_1065,55.7349
fudu_772,55.7253
fudu_1450,55.7107
fudu_1071,55.4649
fudu_601,54.8831
fudu_1100,54.7254
fudu_1008,54.6657
fudu_788,54.6163
fudu_589,54.5379
fudu_722,54.4138
fudu_1064,54.3143
fudu_1070,54.2735
fudu_967,54.0209
fudu_1335,53.6062
fudu_1239,53.5762
fudu_1402,53.4894
fudu_1018,53.34
fudu_1061,53.1426
fudu_664,53.1313
fudu_374,53.0257
fudu_396,53.0052
fudu_1072,52.9581
fudu_1017,52.7923
fudu_1236,52.7796
fudu_1403,52.7278
fudu_965,52.7196
fudu_1053,52.715
fudu_970,52.6388
fudu_1338,52.5534
fudu_1337,52.3477
fudu_1104,52.2372
fudu_1016,52.1976
fudu_609,52.0813
fudu_1449,51.8384
fudu_1022,51.7825
fudu_1029,51.7682
fudu_516,51.6968
fudu_816,51.5951
fudu_1101,51.2929
fudu_184,51.1866
fudu_1010,51.1443
fudu_1062,50.9939
fudu_475,50.7908
fudu_613,50.5631
fudu_775,50.2671
fudu_1074,50.1704
fudu_953,49.9822
fudu_817,49.8568
fudu_496,49.8226
fudu_779,49.6819
fudu_839,49.5966
fudu_478,49.3623
fudu_1103,49.2459
fudu_75,49.1998
fudu_963,49.1406
fudu_1404,48.8592
fudu_479,48.7129
fudu_458,48.7018
fudu_1407,48.5539
fudu_818,48.5018
fudu_966,48.4675
fudu_1406,48.294
fudu_1023,48.2606
fudu_1093,48.0996
fudu_612,47.9801
fudu_192,47.8557
fudu_774,47.4042
fudu_1019,47.2532
fudu_1013,47.189
fudu_969,47.1039
fudu_513,46.8172
fudu_1028,46.812
fudu_954,46.6931
fudu_1030,46.6088
fudu_665,46.4812
fudu_1102,46.4622
fudu_1446,46.1933
fudu_1408,45.8452
fudu_480,45.7655
fudu_462,45.7364
fudu_1066,45.6235
fudu_509,45.5479
fudu_1405,45.5315
fudu_1339,45.4949
fudu_1241,45.4013
fudu_1073,45.3204
fudu_1011,45.25
fudu_464,45.2394
fudu_191,45.2346
fudu_1021,45.2122
fudu_476,45.1572
fudu_477,45.1356
fudu_1014,45.0626
fudu_497,44.6161
fudu_588,44.3368
fudu_1095,44.2227
fudu_512,44.0759
fudu_962,43.9749
fudu_1336,43.9572
fudu_1092,43.6309
fudu_968,43.2779
fudu_411,43.1805
fudu_1448,43.1619
fudu_397,43.1132
fudu_960,42.9144
fudu_507,42.7641
fudu_483,42.6111
fudu_819,42.2467
fudu_368,42.2055
fudu_503,42.1208
fudu_1349,42.1122
fudu_1353,41.9506
fudu_190,41.8593
fudu_1060,41.5638
fudu_1216,41.5341
fudu_1345,41.5227
fudu_493,41.4872
fudu_511,40.8759
fudu_1077,40.834
fudu_587,40.7341
fudu_1078,40.7019
fudu_474,40.5825
fudu_1342,40.4481
fudu_459,40.3236
fudu_1409,39.922
fudu_1094,39.8381
fudu_815,39.7827
fudu_798,39.7601
fudu_517,39.6907
fudu_1059,39.6882
fudu_395,39.4855
fudu_202,39.3375
fudu_777,39.2789
fudu_1052,39.1642
fudu_1024,38.7693
fudu_547,38.6913
fudu_404,38.6777
fudu_837,38.5451
fudu_1240,38.4396
fudu_1445,38.0644
fudu_465,38.0096
fudu_778,37.9529
fudu_1348,37.7781
fudu_498,37.6894
fudu_1341,37.6568
fudu_1340,37.538
fudu_76,37.4955
fudu_494,37.4469
fudu_505,37.1287
fudu_1234,36.6012
fudu_1346,36.4146
fudu_810,36.3533
fudu_669,36.292
fudu_789,36.2315
fudu_833,36.0775
fudu_1217,35.9808
fudu_1347,35.662
fudu_1343,35.6435
fudu_1447,35.4143
fudu_1444,35.1325
fudu_776,34.9784
fudu_1020,34.9734
fudu_197,34.8837
fudu_838,34.8599
fudu_1231,34.6835
fudu_805,34.6128
fudu_1025,34.5428
fudu_1079,34.514
fudu_472,34.46
fudu_600,34.4153
fudu_1344,34.2613
fudu_836,34.2047
fudu_473,34.0832
fudu_460,33.8766
fudu_1091,33.7411
fudu_835,33.46
fudu_1235,33.1171
fudu_790,33.0585
fudu_553,33.0351
fudu_1051,33.0024
fudu_492,32.9017
fudu_832,32.7158
fudu_670,32.3344
fudu_1080,32.2904
fudu_1352,32.0439
fudu_401,31.8276
fudu_666,31.8037
fudu_195,31.7627
fudu_1237,31.7492
fudu_1027,31.5972
fudu_466,31.479
fudu_1350,31.3186
fudu_518,31.2058
fudu_546,30.8513
fudu_541,30.6074
fudu_1238,30.5879
fudu_809,30.4444
fudu_491,30.3898
fudu_471,30.3132
fudu_550,30.1297
fudu_1075,29.9561
fudu_229,29.9312
fudu_405,29.9045
fudu_394,29.8742
fudu_463,29.8292
fudu_484,29.759
fudu_804,29.5712
fudu_1039,29.351
fudu_552,29.3186
fudu_487,29.24
fudu_1410,29.1412
fudu_504,29.103
fudu_198,29.0907
fudu_576,28.971
fudu_1351,28.9205
fudu_814,28.8937
fudu_398,28.8749
fudu_807,28.7828
fudu_1089,28.7776
fudu_543,28.7168
fudu_461,28.6386
fudu_194,28.6165
fudu_1083,28.3964
fudu_577,28.1507
fudu_813,28.0112
fudu_519,27.9543
fudu_811,27.6078
fudu_481,27.4988
fudu_224,27.3198
fudu_1026,27.2957
fudu_808,27.1066
fudu_834,26.8538
fudu_506,26.8443
fudu_821,26.8278
fudu_81,26.4763
fudu_489,26.3092
fudu_812,26.1631
fudu_520,25.9696
fudu_720,25.9399
fudu_1443,25.7573
fudu_820,25.7236
fudu_806,25.4594
fudu_482,25.3774
fudu_830,25.3151
fudu_1229,25.2193
fudu_1090,25.1267
fudu_1032,25.0351
fudu_228,24.6953
fudu_485,24.6474
fudu_831,24.5781
fudu_488,24.4147
fudu_599,23.9227
fudu_1230,23.8165
fudu_823,23.6737
fudu_1414,23.6254
fudu_1412,23.4518
fudu_196,23.4404
fudu_185,23.3488
fudu_1219,23.2875
fudu_791,23.1902
fudu_586,23.1876
fudu_225,23.1249
fudu_1088,23.0112
fudu_1043,22.9924
fudu_1439,22.7352
fudu_1082,22.6471
fudu_1085,22.6422
fudu_667,22.5255
fudu_1050,22.5216
fudu_226,22.5083
fudu_799,22.4454
fudu_570,22.3937
fudu_1037,22.1908
fudu_1081,21.9384
fudu_797,21.8578
fudu_1076,21.6606
fudu_585,21.4894
fudu_1413,21.3202
fudu_1031,21.3162
fudu_560,21.2093
fudu_1040,21.0338
fudu_1047,20.7289
fudu_829,20.6196
fudu_373,20.5523
fudu_1227,20.4705
fudu_1048,20.2984
fudu_80,19.5475
fudu_77,19.4084
fudu_668,19.3982
fudu_571,19.0846
fudu_1411,18.9867
fudu_227,18.7359
fudu_189,18.6949
fudu_1440,18.4086
fudu_542,18.255
fudu_490,18.2008
fudu_579,18.1531
fudu_203,17.9898
fudu_1441,17.7628
fudu_828,17.7487
fudu_672,17.7341
fudu_82,17.565
fudu_568,17.5029
fudu_1041,17.4518
fudu_486,17.3751
fudu_1033,17.2642
fudu_573,17.2388
fudu_1221,17.2215
fudu_1233,17.1489
fudu_407,17.0779
fudu_1232,17.0476
fudu_1427,16.6688
fudu_1087,16.5687
fudu_558,16.4245
fudu_406,16.3381
fudu_826,15.9704
fudu_1084,15.9374
fudu_1042,15.7645
fudu_521,15.7101
fudu_223,15.6814
fudu_1442,15.6084
fudu_584,15.6023
fudu_1045,15.5868
fudu_78,15.517
fudu_1218,15.4438
fudu_671,15.4039
fudu_1436,15.3164
fudu_199,15.2949
fudu_559,15.2555
fudu_1416,15.1256
fudu_675,15.1251
fudu_135,15.014
fudu_1228,14.9703
fudu_581,14.9152
fudu_1220,14.8828
fudu_372,14.7766
fudu_822,14.746
fudu_566,14.6133
fudu_1044,14.4628
fudu_825,14.4378
fudu_402,14.357
fudu_188,14.3479
fudu_1222,14.3247
fudu_578,14.3196
fudu_1046,14.2158
fudu_1438,14.039
fudu_569,13.8907
fudu_206,13.7551
fudu_551,13.7293
fudu_201,13.6954
fudu_567,13.6646
fudu_470,13.5954
fudu_403,13.4195
fudu_1419,13.4143
fudu_1415,13.2401
fudu_824,13.1502
fudu_554,13.1305
fudu_827,13.0784
fudu_375,13.0116
fudu_1437,12.8746
fudu_561,12.8007
fudu_1049,12.691
fudu_1421,12.5886
fudu_204,12.585
fudu_575,12.5236
fudu_400,12.513
fudu_1223,12.1551
fudu_522,12.0322
fudu_205,11.9873
fudu_1420,11.8867
fudu_673,11.8788
fudu_467,11.6642
fudu_800,11.4302
fudu_1086,11.3533
fudu_399,11.1981
fudu_572,10.9007
fudu_1433,10.7853
fudu_408,10.7759
fudu_1428,10.5414
fudu_1426,10.4473
fudu_410,10.3865
fudu_1425,10.3023
fudu_792,9.9684
fudu_1423,9.9494
fudu_796,9.7502
fudu_1225,9.7361
fudu_409,9.5448
fudu_1435,9.3228
fudu_544,9.3032
fudu_469,9.2653
fudu_582,8.9415
fudu_136,8.9262
fudu_1038,8.8977
fudu_562,8.6886
fudu_200,8.4611
fudu_1417,8.4094
fudu_803,8.3177
fudu_545,8.2003
fudu_564,8.0386
fudu_1418,7.7841
fudu_1431,7.6291
fudu_683,7.2029
fudu_1034,7.2026
fudu_574,7.1462
fudu_186,7.1385
fudu_802,6.7045
fudu_1226,6.6175
fudu_1434,6.5502
fudu_801,5.785
fudu_793,5.7521
fudu_137,5.7162
fudu_565,5.5849
fudu_1424,5.4981
fudu_1224,5.4941
fudu_674,5.4291
fudu_1036,5.0827
fudu_1432,5.0107
fudu_1422,4.9689
fudu_187,4.1622
fudu_580,3.8649
fudu_563,3.8514
fudu_549,3.5864
fudu_682,3.0684
fudu_1429,2.3622
fudu_719,2.1411
fudu_1035,1.8446
fudu_207,0.7699
fudu_555,0.6967
fudu_676,0.2926
fudu_209,0.083
fudu_794,-0.3697
fudu_687,-1.6507
fudu_677,-2.0789
fudu_468,-2.1666
fudu_1430,-3.088
fudu_583,-3.5674
fudu_678,-4.181
fudu_686,-4.3318
fudu_679,-4.3545
fudu_79,-4.7542
fudu_689,-4.9303
fudu_557,-5.1726
fudu_684,-5.6409
fudu_681,-5.7838
fudu_548,-6.096
fudu_795,-6.1609
fudu_716,-6.8008
fudu_713,-6.8243
fudu_685,-7.0077
fudu_217,-7.0288
fudu_688,-7.4795
fudu_715,-7.6767
fudu_556,-7.9099
fudu_680,-8.5084
fudu_714,-8.9032
fudu_690,-9.962
fudu_718,-10.2576
fudu_216,-11.3778
fudu_222,-11.5903
fudu_369,-12.3132
fudu_371,-12.4591
fudu_208,-12.8703
fudu_133,-14.737
fudu_83,-14.7696
fudu_134,-14.8246
fudu_717,-14.997
fudu_691,-15.8632
fudu_219,-16.0329
fudu_220,-17.7313
fudu_218,-19.3446
fudu_210,-22.4821
fudu_221,-24.8678
fudu_695,-25.5585
fudu_699,-26.4784
fudu_84,-28.0819
fudu_132,-28.27
fudu_211,-31.5092
fudu_712,-32.2722
fudu_692,-32.6351
fudu_90,-32.7089
fudu_131,-33.3081
fudu_214,-35.3395
fudu_698,-36.1665
fudu_696,-37.4191
fudu_85,-37.7743
fudu_215,-38.2279
fudu_704,-39.4337
fudu_703,-39.7649
fudu_693,-39.9432
fudu_702,-41.1528
fudu_212,-41.3649
fudu_697,-41.7714
fudu_701,-42.3242
fudu_705,-42.4402
fudu_711,-44.1996
fudu_694,-45.3792
fudu_89,-46.4534
fudu_130,-46.7607
fudu_128,-47.3363
fudu_370,-49.8352
fudu_122,-51.5963
fudu_213,-51.8199
fudu_700,-53.0268
fudu_126,-53.5575
fudu_86,-54.5749
fudu_709,-55.6095
fudu_92,-56.3327
fudu_87,-56.882
fudu_124,-57.1473
fudu_706,-57.1777
fudu_129,-58.7735
fudu_88,-59.4682
fudu_91,-60.0112
fudu_121,-61.5666
fudu_93,-61.8785
fudu_708,-64.7948
fudu_710,-65.2858
fudu_127,-65.5271
fudu_123,-65.8042
fudu_125,-73.0453
fudu_94,-73.7149
fudu_107,-77.3508
fudu_95,-78.9374
fudu_707,-79.0412
fudu_102,-80.5948
fudu_108,-84.369
fudu_96,-85.6162
fudu_120,-87.0678
fudu_105,-87.3088
fudu_106,-87.5403
fudu_110,-89.7674
fudu_101,-90.7211
fudu_104,-90.7381
fudu_97,-91.1717
fudu_112,-94.4276
fudu_115,-95.9205
fudu_109,-96.9532
fudu_103,-97.7497
fudu_111,-98.2081
fudu_100,-98.4559
fudu_98,-98.7435
fudu_116,-99.0336
fudu_99,-100.4681
fudu_117,-106.1293
fudu_114,-106.9894
fudu_118,-107.6258
fudu_119,-119.6342
fudu_113,-133.8636
